"ilad";"ilcead";"mahallead";"tapuzeminref";"adano";"parselno";"tapualan";"kadastroalan";"tapucinsaciklama";"HazineParselDurumAciklama";"geom"
AKSARAY;AĞAÇÖREN;ABALI;122663492;"101";"13";317.28;317.281178967186;Bahçe;HazineTam;POLYGON ((33.808348599415 38.865840492103, 33.808294406211 38.865919333169, 33.808276906058 38.865743916578, 33.808320862972 38.865713185902, 33.808357786342 38.865706041668, 33.808512167885 38.865713828026, 33.80866464639 38.865735094745, 33.808348599415 38.865840492103))
AKSARAY;AĞAÇÖREN;ABALI;122663553;"101";"17";556.24;556.240688880404;Arsa;HazineTam;POLYGON ((33.808313616934 38.866034087574, 33.808320060634 38.866106218728, 33.808373057375 38.866323712447, 33.808411144501 38.866449893381, 33.808244922411 38.86634738758, 33.80810503965 38.866078670093, 33.808313616934 38.866034087574))
AKSARAY;AĞAÇÖREN;ABALI;122663552;"101";"19";28.46;28.4602939923725;Arsa;HazineTam;POLYGON ((33.807862358901 38.865947551952, 33.807835801412 38.865957646483, 33.807825217208 38.865930575426, 33.807932381707 38.865906620356, 33.807943178188 38.865934188569, 33.807862358901 38.865947551952))
AKSARAY;AĞAÇÖREN;ABALI;122663551;"101";"20";587.43;587.427911760286;Arsa;HazineTam;POLYGON ((33.807767102984 38.865983754973, 33.807528106997 38.865762201165, 33.807565386931 38.865753443146, 33.80760923647 38.865744762739, 33.807698880279 38.865734696505, 33.807777586517 38.865730687558, 33.807889215034 38.865741373716, 33.807932381707 38.865906620356, 33.807825217208 38.865930575426, 33.807835801412 38.865957646483, 33.807767102984 38.865983754973))
AKSARAY;AĞAÇÖREN;ABALI;122072532;"101";"22";637.39;637.391745834554;Arsa;HazineTam;POLYGON ((33.807388752969 38.86544308285, 33.807383711934 38.865167101979, 33.807622032378 38.865167767657, 33.807651698623 38.865153372847, 33.807641687429 38.865399111031, 33.807388752969 38.86544308285))
AKSARAY;AĞAÇÖREN;ABALI;122072533;"101";"23";616.87;616.874627481001;Arsa;HazineTam;POLYGON ((33.807388752969 38.86544308285, 33.807335866 38.865453612903, 33.807171270069 38.865461526537, 33.807158071454 38.865166290964, 33.807383711934 38.865167101979, 33.807388752969 38.86544308285))
AKSARAY;AĞAÇÖREN;ABALI;122072535;"101";"24";626.7;626.70233386197;Arsa;HazineTam;POLYGON ((33.806922444279 38.865163178429, 33.807158071454 38.865166290964, 33.807171270069 38.865461526537, 33.806974667061 38.865469139752, 33.806922444279 38.865163178429))
AKSARAY;AĞAÇÖREN;ABALI;122072536;"101";"25";670.09;670.086870140531;Arsa;HazineTam;POLYGON ((33.806974667061 38.865469139752, 33.80678860213 38.865479896001, 33.806659068489 38.865132953167, 33.806733631303 38.865163805139, 33.806922444279 38.865163178429, 33.806974667061 38.865469139752))
AKSARAY;AĞAÇÖREN;ABALI;122663550;"101";"28";102.68;102.683906398992;Arsa;HazineTam;POLYGON ((33.807520040589 38.863313456048, 33.807458737746 38.863312097637, 33.807386567988 38.863237898972, 33.807494778165 38.86317282709, 33.807520040589 38.863313456048))
AKSARAY;AĞAÇÖREN;ABALI;122072541;"101";"29";3489.25;3489.24834969847;Arsa;HazineTam;POLYGON ((33.807675061137 38.86315456068, 33.80778322549 38.863144215424, 33.807818664521 38.863282689156, 33.808116479127 38.863353871383, 33.808407775765 38.86343342107, 33.808422646679 38.863449423963, 33.808423237054 38.86357282551, 33.808419862857 38.863712405311, 33.807995378422 38.863690984771, 33.807596617429 38.863684602463, 33.80760868929 38.863601725599, 33.807507468655 38.863551351494, 33.807473132526 38.863401349188, 33.807449550192 38.863402539043, 33.807442640905 38.863368204359, 33.807517105541 38.863354115106, 33.807520040589 38.863313456048, 33.807494778165 38.86317282709, 33.807675061137 38.86315456068))
AKSARAY;AĞAÇÖREN;ABALI;122072542;"101";"30";772.89;772.887525959449;Arsa;HazineTam;POLYGON ((33.807561497247 38.863877776763, 33.807524715065 38.86389487352, 33.807324833962 38.863849066394, 33.807284054313 38.863789487027, 33.807423847442 38.863512589698, 33.807507468655 38.863551351494, 33.80760868929 38.863601725599, 33.807596617429 38.863684602463, 33.807563985083 38.863781970315, 33.807561497247 38.863877776763))
