"ilad";"ilcead";"mahallead";"tapuzeminref";"adano";"parselno";"tapualan";"kadastroalan";"tapucinsaciklama";"HazineParselDurumAciklama";"geom"
ARDAHAN;ÇILDIR;AĞILLI;35094537;"101";"1";1535953.2;1535953.19839498;ORMAN;HazineTam;POLYGON ((43.055226378056 41.243607322561, 43.055893061325 41.243006390302, 43.05168108384 41.240913406322, 43.050247192649 41.238622438361, 43.049520221575 41.23768470164, 43.048465418695 41.236248340784, 43.047744125936 41.236380509795, 43.047449867532 41.236449046431, 43.047119743749 41.236320017591, 43.046862600116 41.236310401114, 43.046645792931 41.236542074181, 43.046373935045 41.236832571458, 43.046252946935 41.237070066442, 43.046167025357 41.237238726078, 43.0457171851 41.237624997533, 43.045427057439 41.237795667092, 43.045063276864 41.238142466519, 43.04472932483 41.238433053997, 43.044128049596 41.238947175451, 43.043916960068 41.239127665289, 43.043738218938 41.23994479395, 43.043409753103 41.240115257233, 43.042982211063 41.240172751194, 43.042882383761 41.24018617901, 43.042690122734 41.239929926277, 43.042775197247 41.238899899577, 43.042780499091 41.238835707374, 43.042798063875 41.238759969997, 43.042677529488 41.238762351319, 43.042375114964 41.238876695889, 43.042048642161 41.238994501304, 43.041883204243 41.2390541979, 43.041651105235 41.239169737292, 43.0413143204 41.239256940672, 43.041191734117 41.239254853587, 43.041015467803 41.239251852347, 43.040780680446 41.239221107032, 43.040653269385 41.238843810997, 43.040647729905 41.238526021765, 43.040640491882 41.238110782998, 43.040551686428 41.236759702967, 43.040489516588 41.235813816747, 43.040524765407 41.235020538805, 43.039860020092 41.234434183826, 43.042093975003 41.232644028329, 43.045465975946 41.236078274248, 43.051185682491 41.235060593066, 43.05309544475 41.239262129463, 43.05962402499 41.24094372203, 43.064921813563 41.241628749151, 43.066164122142 41.241965870755, 43.065502471008 41.242344765956, 43.064562325215 41.242843654703, 43.063981335927 41.243385344496, 43.063611967916 41.243687948649, 43.063295837183 41.243837037553, 43.063043087342 41.244148955805, 43.062748131861 41.244570455804, 43.062376146049 41.244961246195, 43.061680231201 41.245434812537, 43.060490013212 41.246273341935, 43.059765879982 41.246980236179, 43.059354409149 41.24746982042, 43.058728544244 41.247921542542, 43.057694473102 41.248751604451, 43.057102342308 41.24921244781, 43.05638501331 41.249360230713, 43.056002664131 41.249671838349, 43.055827746348 41.249893934784, 43.055725579922 41.250095481234, 43.055499898874 41.250407466107, 43.055353140372 41.250815161386, 43.055138468282 41.251080143206, 43.054662347433 41.251653047345, 43.054354729322 41.251894155039, 43.053927554461 41.252148878224, 43.053512240086 41.252352974638, 43.05315975389 41.252534674708, 43.052742713902 41.252897190582, 43.052260784609 41.253328886677, 43.051912777351 41.253559013588, 43.051482385436 41.253691190643, 43.051150494246 41.253857219237, 43.05090544562 41.253971077453, 43.050673329387 41.2541280669, 43.050355323592 41.254305056604, 43.049922691341 41.254512286879, 43.049760975642 41.254691924112, 43.049461811715 41.255191075322, 43.049264337698 41.25561685303, 43.049125498972 41.255928542742, 43.04866004388 41.255469753296, 43.047957777013 41.255226343494, 43.04709448347 41.254629093295, 43.046468479413 41.254517142491, 43.046266261258 41.253981771908, 43.046879339711 41.253049994785, 43.047540915845 41.252328819732, 43.047973145864 41.251681664622, 43.048466815738 41.251051133245, 43.048805356183 41.25077638007, 43.049286500928 41.250566376705, 43.049580054992 41.250415523248, 43.050426026349 41.249737700588, 43.050052528329 41.249676898981, 43.049647079479 41.249234247042, 43.049513962067 41.248371327655, 43.049669392119 41.247513300534, 43.049298171151 41.247376272555, 43.048005392297 41.246678886191, 43.047961615779 41.246209683414, 43.049120782424 41.245575677839, 43.050643363982 41.245340022091, 43.051167904107 41.245174598162, 43.051943687317 41.244898628333, 43.055226378056 41.243607322561))
ARDAHAN;ÇILDIR;AĞILLI;35094547;"101";"11";1673.1;1673.10239999336;HAM TOPRAK;HazineTam;POLYGON ((43.048817587774 41.267621844721, 43.049138945888 41.267471610766, 43.049525310663 41.267237496121, 43.048925058511 41.268095737377, 43.048817587774 41.267621844721))
ARDAHAN;ÇILDIR;AĞILLI;35094644;"101";"115";2651.41;2651.41374998262;HAM TOPRAK;HazineTam;POLYGON ((43.036124734493 41.2537257907, 43.035858151862 41.253738454198, 43.035606255352 41.253970863701, 43.035256615003 41.253914581619, 43.035900712644 41.253237896641, 43.0360173356 41.25327916623, 43.036124734493 41.2537257907))
ARDAHAN;ÇILDIR;AĞILLI;35094671;"101";"142";1122.83;1122.82454999598;HAM TOPRAK;HazineTam;POLYGON ((43.038915763081 41.265166824151, 43.038942059624 41.265034047592, 43.039128678282 41.26479204583, 43.039197191107 41.264574790543, 43.039232142402 41.26427293022, 43.039325418244 41.264488544931, 43.039516770823 41.264552726692, 43.038915763081 41.265166824151))
ARDAHAN;ÇILDIR;AĞILLI;35094698;"101";"170";69772.92;69772.9220999736;HALİ ARAZİ;HazineTam;POLYGON ((43.036421067008 41.257436749626, 43.036281668356 41.25772145157, 43.036063993827 41.2578928667, 43.035615748929 41.25814469088, 43.035139821331 41.258547849948, 43.034911211502 41.258813003186, 43.034297995493 41.259386398566, 43.034172066666 41.259557616084, 43.034111539929 41.259684306312, 43.033459312595 41.259335764324, 43.033004863786 41.259346595994, 43.033211713064 41.25897206272, 43.0335113094 41.258720952177, 43.033447779401 41.258498222384, 43.033881690144 41.25828255151, 43.034302463154 41.257975516016, 43.034500593668 41.257729726398, 43.034344183052 41.257556903651, 43.03404522559 41.257371404855, 43.033817054042 41.257429819324, 43.033496095148 41.257566681152, 43.033450452195 41.257547552124, 43.033235376779 41.257634480721, 43.033046206596 41.257797980908, 43.032897176255 41.257987322407, 43.031970431723 41.257374354736, 43.033299952412 41.256924382904, 43.032929494329 41.256509469686, 43.03299275152 41.25646523252, 43.03313741531 41.256521470215, 43.033222220974 41.256436341286, 43.033483157429 41.256624884799, 43.033626866895 41.256454048565, 43.033191918307 41.256194314521, 43.033206353984 41.256171494787, 43.033328750843 41.256223069897, 43.033475900921 41.256066159222, 43.033826618938 41.256190147371, 43.034588474833 41.256470982476, 43.034918153641 41.256070671052, 43.035886769812 41.256569247221, 43.03579027302 41.2561029859, 43.036327791792 41.256834949063, 43.036421067008 41.257436749626))
ARDAHAN;ÇILDIR;AĞILLI;35094709;"101";"181";1178.31;1178.30790000689;HALİ ARAZİ;HazineTam;POLYGON ((43.039757726568 41.266517479632, 43.040028262961 41.266419863341, 43.040072207759 41.266466827481, 43.040235331946 41.266962555672, 43.040012947836 41.266906128838, 43.039757726568 41.266517479632))
ARDAHAN;ÇILDIR;AĞILLI;35094538;"101";"2";14030.23;14030.2270499866;HAM TOPRAK;HazineTam;POLYGON ((43.045455692687 41.270559641436, 43.045143043061 41.270351966513, 43.044786488658 41.269950382564, 43.044434811109 41.269727212816, 43.04317913042 41.269196916724, 43.043524084436 41.269125719956, 43.04402185338 41.269320465619, 43.044245812637 41.269392627391, 43.044532926259 41.269466196595, 43.044629409396 41.269604433156, 43.045067614558 41.269820423984, 43.045850904043 41.270219841734, 43.046628987743 41.270345039178, 43.047506854693 41.270455907447, 43.046211073935 41.270944543521, 43.045455692687 41.270559641436))
ARDAHAN;ÇILDIR;AĞILLI;35094732;"101";"204";15939.96;15939.961650016;HAM TOPRAK;HazineTam;POLYGON ((43.040114352371 41.262896260848, 43.040429455326 41.262818229877, 43.041121174899 41.262350519904, 43.041406325747 41.262415380933, 43.041604332716 41.262440511621, 43.042055959364 41.262153337883, 43.042101484796 41.262187231138, 43.041295567475 41.264043950642, 43.041100069746 41.264004300269, 43.040947280672 41.264151727202, 43.040757470003 41.263215223828, 43.040042573124 41.263208178564, 43.040114352371 41.262896260848))
ARDAHAN;ÇILDIR;AĞILLI;35094733;"101";"205";32357.04;32357.0434000615;HALİ ARAZİ;HazineTam;POLYGON ((43.038188029547 41.262926884708, 43.037715891919 41.26296760785, 43.037483599603 41.263000405241, 43.036981811442 41.263097937879, 43.036551160885 41.263204192027, 43.036227673767 41.263325957398, 43.035966151461 41.263442302089, 43.03562326253 41.263514448079, 43.035252129522 41.263581444623, 43.034881252929 41.263657171574, 43.03445553549 41.263796688448, 43.034378412958 41.263030778408, 43.034856895688 41.263013872591, 43.035748677725 41.262880066456, 43.036921403066 41.26274921573, 43.037079027089 41.26231119051, 43.037120325257 41.261987573801, 43.036434575406 41.261551471567, 43.036155346201 41.261309615676, 43.0366301158 41.261556734127, 43.037054760331 41.261742804622, 43.03774619209 41.262024883006, 43.038421593452 41.262258840208, 43.038670175877 41.262290362803, 43.038996126992 41.262467682171, 43.039126686171 41.262558885116, 43.03929134365 41.26279870671, 43.039318082337 41.262942259642, 43.039272489414 41.263393232774, 43.039208890007 41.263686978018, 43.039169558772 41.263516886829, 43.039121760473 41.263286905225, 43.039052336157 41.26306270128, 43.038922131463 41.262956278256, 43.038604956956 41.262896202005, 43.038188029547 41.262926884708))
ARDAHAN;ÇILDIR;AĞILLI;35094759;"101";"231";5828.2;5828.20189998302;HAM TOPRAK;HazineTam;POLYGON ((43.037242168369 41.250509838365, 43.037437207037 41.251269733329, 43.037479962929 41.251657062256, 43.037322847849 41.2517032281, 43.037240336404 41.252060891867, 43.037041382055 41.250985530153, 43.036893691044 41.250299671523, 43.036911808825 41.249710103347, 43.037074576444 41.24867128073, 43.037160508131 41.24874127847, 43.037076612266 41.249041418884, 43.03703102358 41.250353179183, 43.037242168369 41.250509838365))
