"ilad";"ilcead";"mahallead";"tapuzeminref";"adano";"parselno";"tapualan";"kadastroalan";"tapucinsaciklama";"HazineParselDurumAciklama";"geom"
AĞRI;DİYADİN;"14NİSAN";87845987;"105";"3";14103.25;14103.2510389288;Ham Toprak;HazineTam;POLYGON ((43.648128797055 39.557565404167, 43.648052234318 39.557605098261, 43.647846521183 39.557736564056, 43.647603118913 39.557905876329, 43.647391009673 39.55800176416, 43.647217899592 39.558127042872, 43.647103697328 39.558191278482, 43.646869915252 39.558276735868, 43.646855860179 39.558315028879, 43.646875672411 39.558383977416, 43.64691811046 39.558450814491, 43.64696717299 39.558540698372, 43.647002469794 39.55861813101, 43.647039955799 39.558644001281, 43.647085594424 39.558647315748, 43.646985934741 39.558707674428, 43.646800971437 39.55867307339, 43.64665479304 39.558614820738, 43.646420523937 39.558467472203, 43.645865213296 39.557985312172, 43.646427354723 39.557725458426, 43.646572895195 39.557642405258, 43.646689226194 39.557535685413, 43.646839382758 39.557472499454, 43.646940388135 39.557429905533, 43.647264904314 39.557279407634, 43.647456454311 39.557211569307, 43.647669346022 39.557207022938, 43.64775528879 39.55721504827, 43.648128797055 39.557565404167))
AĞRI;DİYADİN;"14NİSAN";87845751;"111";"92";3670.9;3670.9013675325;Arsa;HazineTam;POLYGON ((43.658956196807 39.553559332101, 43.65846092156 39.554025003502, 43.65796653045 39.553712836033, 43.658460977748 39.553247827079, 43.658956196807 39.553559332101))
AĞRI;DİYADİN;"14NİSAN";87845590;"112";"19";587.9;587.898107868202;Arsa;HazineTam;POLYGON ((43.659531618305 39.553940894816, 43.65937377162 39.554089447735, 43.659127805515 39.553933768669, 43.65916795985 39.553893694085, 43.659290642475 39.553783793283, 43.659361616489 39.55383200982, 43.659516816195 39.553929529461, 43.659526810685 39.553937966685, 43.659531618305 39.553940894816))
AĞRI;DİYADİN;"14NİSAN";87845598;"112";"29";615.09;615.088581272238;Arsa;HazineTam;POLYGON ((43.659127805515 39.553933768669, 43.658962181455 39.554085786219, 43.658850497622 39.554018345156, 43.658786105675 39.553977613476, 43.658710503856 39.553932374187, 43.658876813526 39.553776008915, 43.658952665066 39.553824760365, 43.659127805515 39.553933768669))
AĞRI;DİYADİN;"14NİSAN";87845599;"113";"31";626.68;626.675248338611;Arsa;HazineTam;POLYGON ((43.659235520835 39.553298290077, 43.65902830228 39.553494425152, 43.658827679036 39.553365345523, 43.658865398599 39.553333425633, 43.658941621721 39.553257579577, 43.659037908347 39.553171148277, 43.659235520835 39.553298290077))
AĞRI;DİYADİN;"14NİSAN";87845600;"113";"32";597.63;597.631810971917;Arsa;HazineTam;POLYGON ((43.659435128127 39.553109357738, 43.659235520835 39.553298290077, 43.659037908347 39.553171148277, 43.659236181502 39.55298295495, 43.659435128127 39.553109357738))
AĞRI;DİYADİN;"14NİSAN";87845611;"114";"43";577.25;577.254767702862;Arsa;HazineTam;POLYGON ((43.660737162763 39.552802655457, 43.660583710614 39.552947882053, 43.660571721503 39.552939575627, 43.660387583989 39.552823119739, 43.660333257204 39.55278876119, 43.660405781196 39.552729101087, 43.660459684281 39.552680637433, 43.660492354984 39.552647888398, 43.66057734945 39.552692936519, 43.660737162763 39.552802655457))
AĞRI;DİYADİN;"14NİSAN";87845613;"114";"45";631.89;631.886920788924;Arsa;HazineTam;POLYGON ((43.661064526819 39.55249283646, 43.660904276477 39.552644498663, 43.66087519645 39.55262891103, 43.660787413248 39.552577625561, 43.660683350306 39.552519030857, 43.66064278341 39.552496188811, 43.660652273233 39.552486024711, 43.660675961257 39.552460653575, 43.660816871991 39.552333033706, 43.661064526819 39.55249283646))
AĞRI;DİYADİN;"14NİSAN";87845588;"115";"16";931.06;931.057941457828;Arsa;HazineTam;POLYGON ((43.660420454203 39.55332811531, 43.659362089918 39.554339909772, 43.659299765792 39.554301885572, 43.660358455964 39.553300093677, 43.660420454203 39.55332811531))
AĞRI;DİYADİN;"14NİSAN";140933455;"115";"17";2874.8;2874.79759783276;HALİ ARAZİ;HazineTam;POLYGON ((43.6602515887864 39.5534895530285, 43.6604204542011 39.55332811531, 43.6603987982601 39.553318327375, 43.6603584559627 39.5533000936775, 43.6611538888862 39.5525504982827, 43.6613525143914 39.5526786629136, 43.6604463820857 39.5535636434172, 43.6603962624692 39.5535691585776, 43.6602515887864 39.5534895530285))
